name,email,count(follow.follower)
BruceWillis,Bruce_Willis@bws.com,20
DavidBeckham,David_Beckham@uks.net,41
JohnTravolta,John_Travolta@jtv.com,83
JuliaRoberts,Julia_Roberts_@rbt.com,82
JustinTimberlake,Justin_Timberlake@tlk.com,22
MichaelPhelps,Michael_Phelps@uss.net,26
MorganFreeman,Morgan_Freeman@morgan.com,84
NicholasCage,Nicholas_Cage@ncg.com,41
RafaelNadal,Rafael_Nadal@sta.net,52
RogerFederer,Roger_Federer@swta.net,1
SandraBullock,Sandra_Bullock@blk.com,35
SerenaWilliams,Serena_Williams@usta.net,1
TomHanks,Tom_Hanks@thk.com,12
VenusWilliams,Venus_Williams@usta.net,72
